"omikuji_code","created_date","AUTHOR","update_date","CHANGER","GAKUMON","AKINAI","NEGAIGOTO","unsei_code"
"1","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","大繁盛","叶う","01"
"10","2023/12/22","kumakiri","2023/12/22","kumakiri","粘ったものが叶う","少し繁盛","叶う","03"
"11","2023/12/22","kumakiri","2023/12/22","kumakiri","試験との相性が良い","一年中繁盛","春先に良い機運","02"
"12","2023/12/22","kumakiri","2023/12/22","kumakiri","最後まできを抜くな","大繁盛","年中良い機運","01"
"13","2023/12/22","kumakiri","2023/12/22","kumakiri","努力次第","夏にバズる機運","人の幸せを願えるとなおよし","02"
"14","2023/12/22","kumakiri","2023/12/22","kumakiri","モチベーションをあげよ","困ることなし","他人に優しくできたら叶う","03"
"15","2023/12/22","kumakiri","2023/12/22","kumakiri","覚悟を決めて臨むべし","人との繋がりを大切に","叶う","04"
"16","2023/12/22","kumakiri","2023/12/22","kumakiri","気持ちを強くもて","この1年は苦しい闘いになりそう","叶いづらし","05"
"17","2023/12/22","kumakiri","2023/12/22","kumakiri","叶う","今年は休め","経済関係と相性悪し","06"
"18","2023/12/22","kumakiri","2023/12/22","kumakiri","桜が咲く年に","思わぬトラブルにきをつけよ","1年間よし","01"
"19","2023/12/22","kumakiri","2023/12/22","kumakiri","ライバルの存在が鍵に","敵の敵は味方","今年は不安がなく過ごせる","03"
"2","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","繁盛","叶う","02"
"20","2023/12/22","kumakiri","2023/12/22","kumakiri","覚悟を決めて臨むべし","人と人との縁を忘れずに","叶う","04"
"21","2023/12/22","kumakiri","2023/12/22","kumakiri","叶う","思わぬ収入が","叶いにくし","05"
"22","2023/12/22","kumakiri","2023/12/22","kumakiri","ライバルの存在が鍵に","来年にかけよ","願えば叶う","06"
"23","2023/12/22","kumakiri","2023/12/22","kumakiri","行動するが吉","下半期に思わぬことが・・・","叶う","01"
"24","2023/12/22","kumakiri","2023/12/22","kumakiri","最後まで気を抜くな","大繁盛","叶いやすし","02"
"25","2023/12/22","kumakiri","2023/12/22","kumakiri","毎日の積み重ねられていたら成果が出る","上半期に大繁盛","叶う","04"
"26","2023/12/22","kumakiri","2023/12/22","kumakiri","油断大敵","お金の貸し借りは禁物","叶う","05"
"27","2023/12/22","kumakiri","2023/12/22","kumakiri","積み重ねる1年に","銀行との取引に気をつけろ","長年の夢が叶う時","06"
"28","2023/12/22","kumakiri","2023/12/22","kumakiri","試験との相性抜群","繁盛","人生の分岐点。良い願い事を","01"
"29","2023/12/22","kumakiri","2023/12/22","kumakiri","試験の遅刻に気をつけろ","トラブルを全力で回避せよ","叶う","02"
"3","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","繁盛","叶う","03"
"30","2023/12/22","kumakiri","2023/12/22","kumakiri","覚悟を決めて臨むべし","初心を思い出せ","叶いにくし","03"
"31","2023/12/22","kumakiri","2023/12/22","kumakiri","積み重ねる1年に","利益を重視しすぎると失うものあり","叶う","04"
"32","2023/12/22","kumakiri","2023/12/22","kumakiri","行動するが吉","マルチ商法にきをつけよ","叶う","05"
"33","2023/12/22","kumakiri","2023/12/22","kumakiri","ライバルの存在が鍵に","味方の見極めをきちんとせよ","叶わぬ","06"
"34","2023/12/22","kumakiri","2023/12/22","kumakiri","叶う","いい話ばかりではない","春先に良い縁が","01"
"35","2023/12/22","kumakiri","2023/12/22","kumakiri","道具の整理をしたら吉","キャッシュレス決済を使うと運気向上","叶う","02"
"36","2023/12/22","kumakiri","2023/12/22","kumakiri","油断大敵","QR決済をすると運気向上","叶うが、きを抜くな","03"
"37","2023/12/22","kumakiri","2023/12/22","kumakiri","行動するが吉","トラブルの回避を","願えば叶う","05"
"38","2023/12/22","kumakiri","2023/12/22","kumakiri","賭けはせずに毎日の積み重ねを","納税を怠らない","積み重ねる1年を","06"
"39","2023/12/22","kumakiri","2023/12/22","kumakiri","生活習慣と直結する、遅刻厳禁","大繁盛","一瞬一瞬を大切に","01"
"4","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","繁盛","遅くに叶う","04"
"40","2023/12/22","kumakiri","2023/12/22","kumakiri","明日やろうはばかやろう、今日やろう","縁を大切に","叶う","02"
"41","2023/12/22","kumakiri","2023/12/22","kumakiri","高望みは禁物","1つ1つ頑張っていこう","叶う","03"
"42","2023/12/22","kumakiri","2023/12/22","kumakiri","覚悟を決めて臨むべし","良い顧客に当たる","長年の夢が叶う","04"
"43","2023/12/22","kumakiri","2023/12/22","kumakiri","情報の精査をしっかりと","騙されないように、いい話には注意せよ","叶い難し","06"
"44","2023/12/22","kumakiri","2023/12/22","kumakiri","実力を試す時","困ることなし","叶う","01"
"45","2023/12/22","kumakiri","2023/12/22","kumakiri","ライバルの存在が鍵に","トラブルを回避せよ","願えば叶う","02"
"46","2023/12/22","kumakiri","2023/12/22","kumakiri","目標を行動にうつすと吉","高望みはせず、着実に","遅くに叶う","03"
"47","2023/12/22","kumakiri","2023/12/22","kumakiri","一本集中","たまには息抜きを","この先運勢が上がってくる","04"
"48","2023/12/22","kumakiri","2023/12/22","kumakiri","覚悟を決めて臨むべし","おいしい話に注意","叶わぬ","06"
"49","2023/12/22","kumakiri","2023/12/22","kumakiri","勉強習慣を定着させよ","起死回生できる","断捨離で運気をあげよう","06"
"5","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","少し努力が必要","遅くに叶う","05"
"50","2023/12/22","kumakiri","2023/12/22","kumakiri","勉強習慣をつけると直良","思い通りにいく","叶う","01"
"6","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","少し努力が必要","遅くに叶う","06"
"7","2023/12/22","kumakiri","2023/12/22","kumakiri","最後まで諦めない","工夫次第","遅くに叶う","06"
"8","2023/12/22","kumakiri","2023/12/22","kumakiri","粘れ","工夫次第","叶いづらい","05"
"9","2023/12/22","kumakiri","2023/12/22","kumakiri","地に足をつけよ","少し繁盛","強く願うと叶う","04"
