1,大吉,叶う,大繁盛,努力が報われる
2,中吉,叶う,繁盛,努力が報われる
3,小吉,叶う,繁盛,努力が報われる
4,末吉,遅くに叶う,繁盛,努力が報われる
5,吉,遅くに叶う,少し努力が必要,努力が報われる
6,凶,遅くに叶う,少し努力が必要,努力が報われる
7,凶,遅くに叶う,工夫次第,最後まで諦めない
8,吉,叶いづらい,工夫次第,粘れ
9,末吉,強く願うと叶う,少し繁盛,地に足をつけよ
10,小吉,叶う,少し繁盛,粘ったものが叶う
11,中吉,春先に良い機運,一年中繁盛,試験との相性が良い
12,大吉,年中良い機運,大繁盛,最後まできを抜くな
13,中吉,人の幸せを願えるとなおよし,夏にバズる機運,努力次第
14,小吉,他人に優しくできたら叶う,困ることなし,モチベーションをあげよ
15,末吉,叶う,人との繋がりを大切に,覚悟を決めて臨むべし
16,吉,叶いづらし,この1年は苦しい闘いになりそう,気持ちを強くもて
17,凶,経済関係と相性悪し,今年は休め,叶う
18,大吉,1年間よし,思わぬトラブルにきをつけよ,桜が咲く年に
19,小吉,今年は不安がなく過ごせる,敵の敵は味方,ライバルの存在が鍵に
20,末吉,叶う,人と人との縁を忘れずに,覚悟を決めて臨むべし
21,吉,叶いにくし,思わぬ収入が,叶う
22,凶,願えば叶う,来年にかけよ,ライバルの存在が鍵に
23,大吉,叶う,下半期に思わぬことが・・・,行動するが吉
24,中吉,叶いやすし,大繁盛,最後まで気を抜くな
25,末吉,叶う,上半期に大繁盛,毎日の積み重ねられていたら成果が出る
26,吉,叶う,お金の貸し借りは禁物,油断大敵
27,凶,長年の夢が叶う時,銀行との取引に気をつけろ,積み重ねる1年に
28,大吉,人生の分岐点。良い願い事を,繁盛,試験との相性抜群
29,中吉,叶う,トラブルを全力で回避せよ,試験の遅刻に気をつけろ
30,小吉,叶いにくし,初心を思い出せ,覚悟を決めて臨むべし
31,末吉,叶う,利益を重視しすぎると失うものあり,積み重ねる1年に
32,吉,叶う,マルチ商法にきをつけよ,行動するが吉
33,凶,叶わぬ,味方の見極めをきちんとせよ,ライバルの存在が鍵に
34,大吉,春先に良い縁が,いい話ばかりではない,叶う
35,中吉,叶う,キャッシュレス決済を使うと運気向上,道具の整理をしたら吉
36,小吉,叶うが、きを抜くな,QR決済をすると運気向上,油断大敵
37,吉,願えば叶う,トラブルの回避を,行動するが吉
38,凶,積み重ねる1年を,納税を怠らない,賭けはせずに毎日の積み重ねを
39,大吉,一瞬一瞬を大切に,大繁盛,生活習慣と直結する、遅刻厳禁
40,中吉,叶う,縁を大切に,明日やろうはばかやろう、今日やろう
41,小吉,叶う,1つ1つ頑張っていこう,高望みは禁物
42,末吉,長年の夢が叶う,良い顧客に当たる,覚悟を決めて臨むべし
43,凶,叶い難し,騙されないように、いい話には注意せよ,情報の精査をしっかりと
44,大吉,叶う,困ることなし,実力を試す時
45,中吉,願えば叶う,トラブルを回避せよ,ライバルの存在が鍵に
46,小吉,遅くに叶う,高望みはせず、着実に,目標を行動にうつすと吉
47,末吉,この先運勢が上がってくる,たまには息抜きを,一本集中
48,凶,叶わぬ,おいしい話に注意,覚悟を決めて臨むべし
49,凶,断捨離で運気をあげよう,起死回生できる,勉強習慣を定着させよ
50,大吉,叶う,思い通りにいく,勉強習慣をつけると直良